,time,1kW‚ ‚½‚è‚Ì“d‹C—¿‹à
0,2023/4/1 0:00,6.08
1,30•ª,6.08
2,2023/4/1 1:00,6.08
3,30•ª,6.08
4,2023/4/1 2:00,6.08
5,30•ª,6.08
6,2023/4/1 3:00,6.08
7,30•ª,6.08
8,2023/4/1 4:00,6.08
9,30•ª,6.08
10,2023/4/1 5:00,6.08
11,30•ª,6.08
12,2023/4/1 6:00,6.08
13,30•ª,6.08
14,2023/4/1 7:00,14.495
15,30•ª,14.495
16,2023/4/1 8:00,14.495
17,30•ª,14.495
18,2023/4/1 9:00,14.495
19,30•ª,14.495
20,2023/4/1 10:00,14.495
21,30•ª,14.495
22,2023/4/1 11:00,14.495
23,30•ª,14.495
24,2023/4/1 12:00,14.495
25,30•ª,14.495
26,2023/4/1 13:00,14.495
27,30•ª,14.495
28,2023/4/1 14:00,14.495
29,30•ª,14.495
30,2023/4/1 15:00,14.495
31,30•ª,14.495
32,2023/4/1 16:00,14.495
33,30•ª,14.495
34,2023/4/1 17:00,14.495
35,30•ª,14.495
36,2023/4/1 18:00,14.495
37,30•ª,14.495
38,2023/4/1 19:00,14.495
39,30•ª,14.495
40,2023/4/1 20:00,14.495
41,30•ª,14.495
42,2023/4/1 21:00,14.495
43,30•ª,14.495
44,2023/4/1 22:00,14.495
45,30•ª,14.495
46,2023/4/1 23:00,14.495
47,30•ª,14.495
48,2023/4/2 0:00,6.08
49,30•ª,6.08
50,2023/4/2 1:00,6.08
51,30•ª,6.08
52,2023/4/2 2:00,6.08
53,30•ª,6.08
54,2023/4/2 3:00,6.08
55,30•ª,6.08
56,2023/4/2 4:00,6.08
57,30•ª,6.08
58,2023/4/2 5:00,6.08
59,30•ª,6.08
60,2023/4/2 6:00,6.08
61,30•ª,6.08
62,2023/4/2 7:00,14.495
63,30•ª,14.495
64,2023/4/2 8:00,14.495
65,30•ª,14.495
66,2023/4/2 9:00,14.495
67,30•ª,14.495
68,2023/4/2 10:00,14.495
69,30•ª,14.495
70,2023/4/2 11:00,14.495
71,30•ª,14.495
72,2023/4/2 12:00,14.495
73,30•ª,14.495
74,2023/4/2 13:00,14.495
75,30•ª,14.495
76,2023/4/2 14:00,14.495
77,30•ª,14.495
78,2023/4/2 15:00,14.495
79,30•ª,14.495
80,2023/4/2 16:00,14.495
81,30•ª,14.495
82,2023/4/2 17:00,14.495
83,30•ª,14.495
84,2023/4/2 18:00,14.495
85,30•ª,14.495
86,2023/4/2 19:00,14.495
87,30•ª,14.495
88,2023/4/2 20:00,14.495
89,30•ª,14.495
90,2023/4/2 21:00,14.495
91,30•ª,14.495
