DATE,ígó‚ñ[ä∑ãC[kW],ããìí[kW],è∆ñæ[kW],ê~ñ[[kW],ó‚ë†å…[kW],å‚äyèÓïÒ[kW],â∆éñâqê∂[kW],ÇªÇÃëº[kW],î≠ê∂ÉGÉlÉãÉMÅ[[kW],çáåv[kW]
2003/4/1 0:00,0.00496925,0,0,0.00413525,0.04534875,0.02296975,0.0386698,0.16976765,0,0.28586045
2003/4/1 0:30,0.0051708,0,0,0.0043229,0.06351605,0.0238107,0.0268965,0.17422955,0,0.2979465
2003/4/1 1:00,0.00517775,0,0,0.0043368,0.0524447,0.0238385,0.0178754,0.1747369,0,0.27841005
2003/4/1 1:30,0.00517775,0,0,0.004309,0.0485388,0.02381765,0.01796575,0.1728187,0,0.27262765
2003/4/1 2:00,0.00517775,0,0,0.00432985,0.046148,0.0238524,0.01514405,0.17229745,0,0.2669495
2003/4/1 2:30,0.00519165,0,0,0.00437155,0.060465,0.0239358,0.0154707,0.17149125,0,0.28092595
2003/4/1 3:00,0.0052125,0,0,0.0043785,0.049901,0.0239358,0.01831325,0.15474175,0,0.2564828
2003/4/1 3:30,0.00520555,0,0,0.0043646,0.04550165,0.02394275,0.0181534,0.1400703,0,0.23723825
2003/4/1 4:00,0.0051847,0,0,0.0043507,0.0445356,0.02391495,0.0156375,0.12901285,0,0.2226363
2003/4/1 4:30,0.0051847,0,0,0.00437155,0.06151445,0.02391495,0.0184731,0.12794255,0,0.2414013
2003/4/1 5:00,0.00516385,0,0,0.0818015,0.04533485,0.02392885,0.0186677,0.1256143,0,0.30051105
2003/4/1 5:30,0.0051847,0,0,0.12584365,0.0441464,0.02397055,0.0208778,0.1162179,0,0.336241
2003/4/1 6:00,0.31659335,0,0,0.0133162,0.0441603,0.05163155,0.0204469,0.11582175,0,0.56197005
2003/4/1 6:30,0.71206225,0,0,0.1192481,0.0459534,0.0932968,0.02205235,0.1744589,0,1.1670718
2003/4/1 7:00,0.31042175,0,0,0.00430205,0.0432151,0.0955347,0.01631165,0.20685285,0,0.6766381
2003/4/1 7:30,0.24083835,0,0,0.1399869,0.05695525,0.1028739,0.01952255,0.24485545,0,0.8050324
