,DATE,ígó‚ñ[ä∑ãC[kW*min],ããìí[kW*30min],è∆ñæ[kW*30min],ê~ñ[[kW*30min],ó‚ë†å…[kW*30min],å‚äyèÓïÒ[kW*30min],â∆éñâqê∂[kW*30min],ÇªÇÃëº[kW*30min],î≠ê∂ÉGÉlÉãÉMÅ[[kW*30min],çáåv[kW*30min]
0,2004/1/1 0:00,0.0013205,0,0,0.00074365,0.04035865,0.04197105,0.0101192,0.0584356,0,0.15294865
1,2004/1/1 0:30,0.0013483,0,0,0.00078535,0.0349168,0.04950485,0.0120791,0.0534177,0,0.1520521
2,2004/1/1 1:00,0.0013344,0,0,0.00077145,0.035306,0.05085315,0.01321195,0.0495118,0,0.15098875
3,2004/1/1 1:30,0.00132745,0,0,0.0007645,0.0438406,0.03346425,0.0116899,0.04306915,0,0.13415585
4,2004/1/1 2:00,0.0013622,0,0,0.0007784,0.03489595,0.0111339,0.01159955,0.04134555,0,0.10111555
5,2004/1/1 2:30,0.0013483,0,0,0.0007784,0.03289435,0.0110922,0.01332315,0.04173475,0,0.10117115
6,2004/1/1 3:00,0.0013622,0,0,0.0007784,0.030302,0.0111617,0.01158565,0.0409077,0,0.09609765
7,2004/1/1 3:30,0.0013622,0,0,0.0007784,0.0324565,0.01121035,0.013483,0.0407548,0,0.10004525
8,2004/1/1 4:00,0.0013761,0,0,0.0007923,0.03809295,0.011259,0.0118845,0.041144,0,0.10454885
9,2004/1/1 4:30,0.0013761,0,0,0.0008062,0.0342496,0.0112729,0.01273935,0.0408799,0,0.10132405
10,2004/1/1 5:00,0.00138305,0,0,0.0007923,0.0299962,0.01121035,0.01222505,0.04184595,0,0.0974529
11,2004/1/1 5:30,0.0013344,0,0,0.00077145,0.02904405,0.01114085,0.01400425,0.03985825,0,0.09615325
12,2004/1/1 6:00,0.08685415,0,0,0.00077145,0.0277305,0.0251729,0.01162735,0.0399208,0,0.19207715
13,2004/1/1 6:30,0.15125285,0,0,0.0007784,0.035167,0.05421695,0.01344825,0.04024745,0,0.2951109
14,2004/1/1 7:00,0.1139522,0,0,0.0008062,0.0352087,0.05377215,0.01176635,0.04341665,0,0.25892225
15,2004/1/1 7:30,0.0938528,0,0,0.0007784,0.0361261,0.05259065,0.0140946,0.04087295,0,0.2383155
16,2004/1/1 8:00,0.08588115,0,0,0.0007784,0.03046185,0.03035065,0.0170831,0.03707825,0,0.2016334
17,2004/1/1 8:30,0.09520805,0,0,0.00077145,0.0321368,0.05165935,0.0141363,0.0734754,0,0.26738735
18,2004/1/1 9:00,0.10087925,0,0,0.00074365,0.04729475,0.0515134,0.01399035,0.17233915,0,0.38676055
19,2004/1/1 9:30,0.09926685,0,0,0.0007645,0.0291066,0.0514578,0.01222505,0.09366515,0,0.28648595
20,2004/1/1 10:00,0.0962158,0,0,0.0007645,0.0331376,0.0516663,0.0118289,0.0870974,0,0.2807105
21,2004/1/1 10:30,0.0771033,0,0,0.0007228,0.0435209,0.0531258,0.01355945,0.52134035,0,0.7093726
22,2004/1/1 11:00,0.0631338,0,0,0.00074365,0.0289676,0.05229875,0.0106335,0.22777235,0,0.38354965
23,2004/1/1 11:30,0.0322063,0,0,0.00077145,0.02622235,0.0506655,0.0129687,0.0916149,0,0.2144492
24,2004/1/1 12:00,0.0018209,0,0,0.00077145,0.04596035,0.0677347,0.01043195,0.07990415,0,0.2066235
