DATE,ígó‚ñ[ä∑ãC[kW*min],ããìí[kW*30min],è∆ñæ[kW*30min],ê~ñ[[kW*30min],ó‚ë†å…[kW*30min],å‚äyèÓïÒ[kW*30min],â∆éñâqê∂[kW*30min],ÇªÇÃëº[kW*30min],î≠ê∂ÉGÉlÉãÉMÅ[[kW*30min],çáåv[kW*30min]
2004/1/1 0:00,0.0645099,0,0,0.00063245,0.03864895,0.0419224,0.01155785,0.1399452,0,0.29721675
2004/1/1 0:30,0.06145885,0,0,0.0006533,0.03354765,0.04236025,0.0195434,0.1565418,0,0.31410525
2004/1/1 1:00,0.0591167,0,0,0.0006533,0.00837475,0.0456754,0.01043195,0.1467562,0,0.2710083
2004/1/1 1:30,0.03353375,0,0,0.0006533,0.03315845,0.0302881,0.01182195,0.14053595,0,0.2499915
2004/1/1 2:00,0.0023908,0,0,0.00064635,0.03443725,0.00245335,0.01668,0.11065095,0,0.1672587
2004/1/1 2:30,0.00232825,0,0,0.0006255,0.0176669,0.00243945,0.0092435,0.10603615,0,0.13833975
2004/1/1 3:00,0.0022935,0,0,0.00063245,0.0125378,0.00243945,0.012232,0.1094486,0,0.1395838
2004/1/1 3:30,0.0023352,0,0,0.0006394,0.02939155,0.0024742,0.0121486,0.11181855,0,0.1588075
2004/1/1 4:00,0.00232825,0,0,0.0006394,0.02672275,0.00245335,0.01317025,0.10760685,0,0.15292085
2004/1/1 4:30,0.0023213,0,0,0.0006394,0.02547175,0.0024742,0.0120096,0.1069744,0,0.14989065
2004/1/1 5:00,0.0023352,0,0,0.0006394,0.01732635,0.00245335,0.01329535,0.128158,0,0.16420765
2004/1/1 5:30,0.00234215,0,0,0.0006394,0.0149842,0.00246725,0.0195573,0.15565915,0,0.19564945
2004/1/1 6:00,0.0023213,0,0,0.00063245,0.02463775,0.00246725,0.00969525,0.1815618,0,0.2213158
2004/1/1 6:30,0.0023074,0,0,0.00063245,0.0237551,0.0024464,0.011815,0.16233115,0,0.2032875
2004/1/1 7:00,0.0123988,0,0,0.0006394,0.02334505,0.00362095,0.01178025,0.10753735,0,0.1593218
