,time,1kW‚ ‚½‚è‚Ì“d‹C—¿‹à
0,2003/4/1 0:00,6.08
1,2003/4/1 0:30,6.08
2,2003/4/1 1:00,6.08
3,2003/4/1 1:30,6.08
4,2003/4/1 2:00,6.08
5,2003/4/1 2:30,6.08
6,2003/4/1 3:00,6.08
7,2003/4/1 3:30,6.08
8,2003/4/1 4:00,6.08
9,2003/4/1 4:30,6.08
10,2003/4/1 5:00,6.08
11,2003/4/1 5:30,6.08
12,2003/4/1 6:00,6.08
13,2003/4/1 6:30,6.08
14,2003/4/1 7:00,14.495
15,2003/4/1 7:30,14.495
16,2003/4/1 8:00,14.495
17,2003/4/1 8:30,14.495
18,2003/4/1 9:00,14.495
19,2003/4/1 9:30,14.495
20,2003/4/1 10:00,14.495
21,2003/4/1 10:30,14.495
22,2003/4/1 11:00,14.495
23,2003/4/1 11:30,14.495
24,2003/4/1 12:00,14.495
25,2003/4/1 12:30,14.495
26,2003/4/1 13:00,14.495
27,2003/4/1 13:30,14.495
28,2003/4/1 14:00,14.495
29,2003/4/1 14:30,14.495
30,2003/4/1 15:00,14.495
31,2003/4/1 15:30,14.495
32,2003/4/1 16:00,14.495
33,2003/4/1 16:30,14.495
34,2003/4/1 17:00,14.495
35,2003/4/1 17:30,14.495
36,2003/4/1 18:00,14.495
37,2003/4/1 18:30,14.495
38,2003/4/1 19:00,14.495
39,2003/4/1 19:30,14.495
40,2003/4/1 20:00,14.495
41,2003/4/1 20:30,14.495
42,2003/4/1 21:00,14.495
43,2003/4/1 21:30,14.495
44,2003/4/1 22:00,14.495
45,2003/4/1 22:30,14.495
46,2003/4/1 23:00,14.495
47,2003/4/1 23:30,14.495
48,2003/4/2 0:00,6.08
49,2003/4/2 0:30,6.08
50,2003/4/2 1:00,6.08
51,2003/4/2 1:30,6.08
52,2003/4/2 2:00,6.08
53,2003/4/2 2:30,6.08
54,2003/4/2 3:00,6.08
55,2003/4/2 3:30,6.08
56,2003/4/2 4:00,6.08
57,2003/4/2 4:30,6.08
58,2003/4/2 5:00,6.08
59,2003/4/2 5:30,6.08
60,2003/4/2 6:00,6.08
61,2003/4/2 6:30,6.08
62,2003/4/2 7:00,14.495
63,2003/4/2 7:30,14.495
64,2003/4/2 8:00,14.495
65,2003/4/2 8:30,14.495
66,2003/4/2 9:00,14.495
67,2003/4/2 9:30,14.495
68,2003/4/2 10:00,14.495
69,2003/4/2 10:30,14.495
70,2003/4/2 11:00,14.495
71,2003/4/2 11:30,14.495
72,2003/4/2 12:00,14.495
73,2003/4/2 12:30,14.495
74,2003/4/2 13:00,14.495
75,2003/4/2 13:30,14.495
76,2003/4/2 14:00,14.495
77,2003/4/2 14:30,14.495
78,2003/4/2 15:00,14.495
79,2003/4/2 15:30,14.495
80,2003/4/2 16:00,14.495
81,2003/4/2 16:30,14.495
82,2003/4/2 17:00,14.495
83,2003/4/2 17:30,14.495
84,2003/4/2 18:00,14.495
85,2003/4/2 18:30,14.495
86,2003/4/2 19:00,14.495
87,2003/4/2 19:30,14.495
88,2003/4/2 20:00,14.495
89,2003/4/2 20:30,14.495
90,2003/4/2 21:00,14.495
91,2003/4/2 21:30,14.495
92,2003/4/2 22:00,14.495
93,2003/4/2 22:30,14.495
94,2003/4/2 23:00,14.495
95,2003/4/2 23:30,14.495
96,2003/4/3 0:00,6.08
97,2003/4/3 0:30,6.08
98,2003/4/3 1:00,6.08
99,2003/4/3 1:30,6.08
100,2003/4/3 2:00,6.08
101,2003/4/3 2:30,6.08
102,2003/4/3 3:00,6.08
103,2003/4/3 3:30,6.08
104,2003/4/3 4:00,6.08
105,2003/4/3 4:30,6.08
106,2003/4/3 5:00,6.08
107,2003/4/3 5:30,6.08
108,2003/4/3 6:00,6.08
109,2003/4/3 6:30,6.08
110,2003/4/3 7:00,14.495
