time,Hokkaido,Tohoku,Tokyo,Chubu,Hokuriku,Kansai,Chugoku,Shikoku,Kyushu,Okinawa,sum
2019/4/1 0:00,0,0,0,0,0,0,0,0,0,0,0
2019/4/1 1:00,0,0,0,0,0,0,0,0,0,0,0
2019/4/1 2:00,0,0,0,0,0,0,0,0,0,0,0
2019/4/1 3:00,0,0,0,0,0,0,0,0,0,0,0
2019/4/1 4:00,0,0,0,0,0,0,0,0,0,0,0
2019/4/1 5:00,0.008981046,0.001853629,0,0,0.001002995,0.000690254,0,0,0,0,0.000563179
2019/4/1 6:00,0.096396563,0.045599264,0.059893957,0.074734661,0.046137749,0.06074233,0.022019152,0.03105558,0.014020014,0.001780252,0.048897062
2019/4/1 7:00,0.249074348,0.119929772,0.233732515,0.301851841,0.181542013,0.196204628,0.147842879,0.100930635,0.137550691,0.006866685,0.196900456
2019/4/1 8:00,0.421510436,0.224845152,0.427292253,0.495691367,0.300898364,0.325972333,0.285200447,0.170805689,0.263510032,0.018311159,0.348686534
2019/4/1 9:00,0.534072881,0.336618958,0.570453419,0.60762529,0.4413176,0.37705111,0.369292638,0.287264114,0.384501651,0.075279208,0.46142367
2019/4/1 10:00,0.620290925,0.40538858,0.647877314,0.68852248,0.523563153,0.464713337,0.408717406,0.403722539,0.469284099,0.191504202,0.540056574
2019/4/1 11:00,0.620889661,0.420588335,0.636190688,0.681799721,0.493473316,0.497327826,0.462611902,0.438660066,0.562346083,0.212867221,0.562966689
2019/4/1 12:00,0.575385694,0.486392151,0.55292348,0.611995083,0.480434387,0.473168945,0.459885721,0.500771226,0.64359593,0.315358846,0.549568665
2019/4/1 13:00,0.493358805,0.486206788,0.384197821,0.596868877,0.417245731,0.45435953,0.463031315,0.458069803,0.641719235,0.361899707,0.496091081
2019/4/1 14:00,0.335891128,0.394266808,0.230080444,0.437315417,0.267799544,0.356861188,0.447513055,0.341611379,0.598886435,0.417341827,0.388201037
2019/4/1 15:00,0.185608288,0.25190813,0.124900813,0.329079011,0.114341378,0.288698631,0.369502344,0.267854377,0.480213086,0.441502384,0.283064938
2019/4/1 16:00,0.07005216,0.097500866,0.038711948,0.216360766,0.045134755,0.16013887,0.209286799,0.186333479,0.337253099,0.250761147,0.163483302
2019/4/1 17:00,0.009579783,0.008897417,0.002921656,0.033725837,0.016047913,0.06022464,0.061863332,0.06211116,0.130375093,0.125126252,0.046090555
