,energy_Wh_m2,PV_output_Wh
2003/4/1 0:00,0,0
2003/4/1 0:30,0,0
2003/4/1 1:00,0,0
2003/4/1 1:30,0,0
2003/4/1 2:00,0,0
2003/4/1 2:30,0,0
2003/4/1 3:00,0,0
2003/4/1 3:30,0,0
2003/4/1 4:00,0,0
2003/4/1 4:30,0,0
2003/4/1 5:00,2.9390625,13.22578125
2003/4/1 5:30,8.0609375,36.27421875
2003/4/1 6:00,50.71516147,228.2182266
2003/4/1 6:30,98.28483853,442.2817734
2003/4/1 7:00,150.9611606,679.3252229
2003/4/1 7:30,209.0388394,940.6747771
2003/4/1 8:00,262.3163301,1180.423485
2003/4/1 8:30,313.6836699,1411.576515
2003/4/1 9:00,352.8635831,1587.886124
2003/4/1 9:30,389.1364169,1751.113876
2003/4/1 10:00,417.3579606,1878.110823
2003/4/1 10:30,435.6420394,1960.389177
2003/4/1 11:00,441.345289,1986.0538
2003/4/1 11:30,439.654711,1978.4462
2003/4/1 12:00,427.5451208,1923.953043
2003/4/1 12:30,412.4548792,1856.046957
2003/4/1 13:00,400.6325026,1802.846262
2003/4/1 13:30,362.3674974,1630.653738
2003/4/1 14:00,309.6777144,1393.549715
2003/4/1 14:30,251.3222856,1130.950285
2003/4/1 15:00,187.4006603,843.3029714
2003/4/1 15:30,139.5993397,628.1970286
2003/4/1 16:00,105.7454545,475.8545455
2003/4/1 16:30,62.25454545,280.1454545
2003/4/1 17:00,20,90
2003/4/1 17:30,8,36
2003/4/1 18:00,0,0
2003/4/1 18:30,0,0
2003/4/1 19:00,0,0
2003/4/1 19:30,0,0
2003/4/1 20:00,0,0
2003/4/1 20:30,0,0
2003/4/1 21:00,0,0
2003/4/1 21:30,0,0
2003/4/1 22:00,0,0
2003/4/1 22:30,0,0
2003/4/1 23:00,0,0
2003/4/1 23:30,0,0
2003/4/2 0:00,0,0
2003/4/2 0:30,0,0
2003/4/2 1:00,0,0
2003/4/2 1:30,0,0
2003/4/2 2:00,0,0
2003/4/2 2:30,0,0
2003/4/2 3:00,0,0
2003/4/2 3:30,0,0
2003/4/2 4:00,0,0
2003/4/2 4:30,0,0
2003/4/2 5:00,0.555555556,2.5
2003/4/2 5:30,1.444444444,6.5
2003/4/2 6:00,5.371980676,24.17391304
2003/4/2 6:30,10.62801932,47.82608696
2003/4/2 7:00,22.82477858,102.7115036
2003/4/2 7:30,30.17522142,135.7884964
2003/4/2 8:00,26.09953704,117.4479167
2003/4/2 8:30,28.90046296,130.0520833
2003/4/2 9:00,37.96409907,170.8384458
2003/4/2 9:30,42.03590093,189.1615542
2003/4/2 10:00,40.66427507,182.9892378
2003/4/2 10:30,42.33572493,190.5107622
2003/4/2 11:00,46.86055613,210.8725026
