,time,ãCâ∑[Åé]
1,2003/4/1 0:00,12.7
2,30,12.45
3,2003/4/1 1:00,12.2
4,30,12.1
5,2003/4/1 2:00,12
6,30,12.25
7,2003/4/1 3:00,12.5
8,30,12.25
9,2003/4/1 4:00,12
10,30,11.8
11,2003/4/1 5:00,11.6
12,30,11.05
13,2003/4/1 6:00,10.5
14,30,10.35
15,2003/4/1 7:00,10.2
16,30,11.25
17,2003/4/1 8:00,12.3
18,30,13.5
19,2003/4/1 9:00,14.7
20,30,15.05
21,2003/4/1 10:00,15.4
22,30,15.75
23,2003/4/1 11:00,16.1
24,30,16.45
25,2003/4/1 12:00,16.8
26,30,16.25
27,2003/4/1 13:00,15.7
28,30,15.8
29,2003/4/1 14:00,15.9
30,30,15.6
31,2003/4/1 15:00,15.3
32,30,14.75
33,2003/4/1 16:00,14.2
34,30,13.45
35,2003/4/1 17:00,12.7
36,30,11.95
37,2003/4/1 18:00,11.2
38,30,10.75
39,2003/4/1 19:00,10.3
40,30,10.15
41,2003/4/1 20:00,10
42,30,9.9
43,2003/4/1 21:00,9.8
44,30,9.8
45,2003/4/1 22:00,9.8
46,30,9.65
47,2003/4/1 23:00,9.5
48,30,9.4
49,2003/4/2 0:00,9.3
50,30,9.1
51,2003/4/2 1:00,8.9
52,30,8.9
53,2003/4/2 2:00,8.9
54,30,8.9
55,2003/4/2 3:00,8.9
56,30,8.95
57,2003/4/2 4:00,9
58,30,8.95
59,2003/4/2 5:00,8.9
60,30,8.55
61,2003/4/2 6:00,8.2
62,30,8.2
63,2003/4/2 7:00,8.2
64,30,8.25
65,2003/4/2 8:00,8.3
66,30,8.25
67,2003/4/2 9:00,8.2
68,30,8.35
69,2003/4/2 10:00,8.5
70,30,8.6
71,2003/4/2 11:00,8.7
72,30,8.7
73,2003/4/2 12:00,8.7
74,30,8.7
75,2003/4/2 13:00,8.7
76,30,8.85
77,2003/4/2 14:00,9
78,30,9.15
79,2003/4/2 15:00,9.3
80,30,9.35
81,2003/4/2 16:00,9.4
82,30,9.4
83,2003/4/2 17:00,9.4
84,30,9.45
85,2003/4/2 18:00,9.5
86,30,9.6
87,2003/4/2 19:00,9.7
88,30,9.7
89,2003/4/2 20:00,9.7
90,30,9.65
91,2003/4/2 21:00,9.6
92,30,9.45
93,2003/4/2 22:00,9.3
94,30,9.25
95,2003/4/2 23:00,9.2
96,30,9.25
97,2003/4/3 0:00,9.3
98,30,9.3
99,2003/4/3 1:00,9.3
100,30,9.05
101,2003/4/3 2:00,8.8
102,30,8.75
103,2003/4/3 3:00,8.7
104,30,8.2
105,2003/4/3 4:00,7.7
106,30,7.65
107,2003/4/3 5:00,7.6
108,30,7.6
109,2003/4/3 6:00,7.6
110,30,7.95
111,2003/4/3 7:00,8.3
112,30,8.8
113,2003/4/3 8:00,9.3
114,30,10.25
115,2003/4/3 9:00,11.2
116,30,11.7
117,2003/4/3 10:00,12.2
118,30,12.45
119,2003/4/3 11:00,12.7
120,30,13
121,2003/4/3 12:00,13.3
122,30,13.3
123,2003/4/3 13:00,13.3
124,30,13.05
125,2003/4/3 14:00,12.8
126,30,12.9
127,2003/4/3 15:00,13
128,30,12.4
129,2003/4/3 16:00,11.8
130,30,11.35
131,2003/4/3 17:00,10.9
132,30,10.2
133,2003/4/3 18:00,9.5
134,30,8.95
135,2003/4/3 19:00,8.4
136,30,8.05
137,2003/4/3 20:00,7.7
138,30,7.4
139,2003/4/3 21:00,7.1
140,30,6.75
141,2003/4/3 22:00,6.4
142,30,6.2
143,2003/4/3 23:00,6
144,30,6
145,2003/4/4 0:00,6
146,30,5.7
147,2003/4/4 1:00,5.4
148,30,4.95
149,2003/4/4 2:00,4.5
150,30,4.3
151,2003/4/4 3:00,4.1
152,30,3.8
153,2003/4/4 4:00,3.5
154,30,3.6
155,2003/4/4 5:00,3.7
156,30,3.75
157,2003/4/4 6:00,3.8
158,30,4.7
159,2003/4/4 7:00,5.6
