Time,PV,P_buy,P_dch,Demand,P_sell,P_ch,P_hp,Battery_SOC,HP_Tank,HP_Status,P_H,P_DN,V_DN
1,0.0,0.0,0.17528595,0.17528595,0.0,0.0,0.0,3.057744236842105,54.38999999999999,0,0.0,0.0,99.80024614331158
2,0.0,0.0,0.0655524,0.0655524,0.0,0.0,0.0,3.0232429736842104,54.38999999999999,0,0.0,0.0,99.80024614331158
3,0.0,0.0,0.0404212,0.0404212,0.0,0.0,0.0,3.0019686578947367,54.38999999999999,0,0.0,0.0,99.80024614331158
4,0.0,0.0,0.0649964,0.0649964,0.0,0.0,0.0,2.9677600263157893,52.159444402999995,0,0.0,0.0,99.80024614331158
5,0.0,0.0,0.0688745,0.0688745,0.0,0.0,0.0,2.931510289473684,52.159444402999995,0,0.0,0.0,99.80024614331158
6,0.0,0.0,0.0450638,0.0450638,0.0,0.0,0.0,2.9077925,52.159444402999995,0,0.0,0.0,99.80024614331158
7,0.0,0.0,0.0484693,0.0484693,0.0,0.0,0.0,2.882282342105263,52.159444402999995,0,0.0,0.0,99.80024614331158
8,0.0,0.0,0.0675262,0.0675262,0.0,0.0,0.0,2.846742236842105,52.159444402999995,0,0.0,0.0,99.80024614331158
9,0.0,0.0,0.07577585,0.07577585,0.0,0.0,0.0,2.8068602105263154,52.159444402999995,0,0.0,0.0,99.80024614331158
10,0.0920748503,0.0,0.0,0.06871465,0.023360200299999995,0.0,0.0,2.8068602105263154,52.159444402999995,0,-0.023360200299999995,-0.023360200299999995,99.80944380649913
11,0.21392514969999998,0.0,0.0,0.077145,0.13678014969999996,0.0,0.0,2.8068602105263154,52.159444402999995,0,-0.13678014969999996,-0.13678014969999996,99.85410089333631
12,0.4680349058,0.0,0.0,0.0986761,0.36935880580000563,0.0,0.0,2.8068602105263154,52.159444402999995,0,-0.36935880580000563,-0.36935880580000563,99.9233332880046
13,0.7289650942,0.0,0.0,0.166383,0.0,0.5625820941999999,0.0,3.0740867052713154,52.159444402999995,0,0.0,0.0,99.8674702346462
14,0.9407108014000001,0.0,0.0,0.69659155,0.24411925140003116,0.0,0.0,3.0740867052713154,45.24909600599998,0,-0.24411925140003116,-0.24411925140003116,99.89636375459663
15,1.183289199,0.0,0.0,0.10985865,0.5367152745000174,0.5367152744999824,0.0,3.329026460658807,41.67729141599998,0,-0.5367152745000174,-0.5367152745000174,100.1104631092085
16,1.414093236,0.0,0.0,0.0902666,1.323826636000036,0.0,0.0,3.329026460658807,40.787984935999965,0,-1.323826636000036,-1.323826636000036,100.16329255748208
17,1.627906764,0.0,0.0,0.1136325,0.014274263999957348,1.5,0.0,4.041526460658828,38.55742946499996,0,-0.014274263999957348,-0.014274263999957348,100.04121212487752
18,1.795807801,0.0,0.0,0.15433865,1.6414691510000128,0.0,0.0,4.041526460658828,36.32687399399996,0,-1.6414691510000128,-1.6414691510000128,100.44654541257195
19,1.9481921990000002,0.0,0.0,0.0769921,1.871200099000013,0.0,0.0,4.041526460658828,36.32687399399996,0,-1.871200099000013,-1.871200099000013,100.53699788542436
20,2.0673026329999997,0.0,0.0,0.0654829,2.0018197329999996,0.0,0.0,4.041526460658828,36.32687399399996,0,-2.0018197329999996,-2.0018197329999996,100.58842704201479
21,2.149197367,0.0,0.0,0.088126,2.0610713670000003,0.0,0.0,4.041526460658828,36.32687399399996,0,-2.0610713670000003,-2.0610713670000003,100.6117563185555
22,2.186708495,0.0,0.0,0.07861145,1.568640661911339,0.0,0.539456383088661,4.041526460658828,44.42687399399996,1,-1.568640661911339,-1.568640661911339,100.417870490932
23,2.187291505,0.0,0.0,0.05977,1.678206947413266,0.0,0.44931455758673433,4.041526460658828,52.52687399399996,1,-1.678206947413266,-1.678206947413266,100.46101026618287
24,2.1437015390000003,0.0,0.0,0.07346845,1.6232915303204942,0.0,0.446941558679506,4.041526460658828,60.626873993999965,1,-1.6232915303204942,-1.6232915303204942,100.43938829788911
25,2.077298461,0.0,0.0,0.1105467,1.5848142203130404,0.0,0.38193754068715857,4.0415264606587336,67.35054816499999,1,-1.5848142203130404,-1.5848142203130404,100.42423854175398
26,1.996236854,0.0,0.0,0.12049215,1.8757447040000126,0.0,0.0,4.0415264606587336,67.35054816499999,0,-1.8757447040000126,-1.8757447040000126,100.34448497369279
27,1.860263146,0.0,0.0,0.1580569,1.702206246,0.0,0.0,4.0415264606587336,67.35054816499999,0,-1.702206246,-1.702206246,100.47045956294846
28,1.686531921,0.0,0.0,0.1665776,1.5199543210000002,0.0,0.0,4.0415264606587336,67.35054816499999,0,-1.5199543210000002,-1.5199543210000002,100.39870111054198
29,1.494968079,0.0,0.0,0.1304515,0.9474910815269693,0.41702549747303075,0.0,4.239613571958423,67.35054816499999,0,-0.9474910815269693,-0.9474910815269693,100.2128084629465
30,1.305648859,0.0,0.0,0.14734695,1.158301909000005,0.0,0.0,4.239613571958423,67.35054816499999,0,-1.158301909000005,-1.158301909000005,100.1652332446737
31,1.0703511410000002,0.0,0.0,0.0855128,0.9848383410000066,0.0,0.0,4.239613571958423,67.35054816499999,0,-0.9848383410000066,-0.9848383410000066,100.18800871548058
32,0.8373392128,0.0,0.0,0.0582132,0.3895630064000034,0.38956300639999664,0.0,4.424655999998421,67.35054816499999,0,-0.3895630064000034,-0.3895630064000034,100.02541032181138
33,0.5846607871999999,0.0,0.0,0.24111635,0.3435444372000053,0.0,0.0,4.424655999998421,67.35054816499999,0,-0.3435444372000053,-0.3435444372000053,99.90385999271385
34,0.35288815970000004,0.0,0.0,0.1182751,0.2346130597000055,0.0,0.0,4.424655999998421,67.35054816499999,0,-0.2346130597000055,-0.2346130597000055,99.87742557748633
35,0.17361184030000001,0.0,0.0,0.1521216,0.02149024030000002,0.0,0.0,4.424655999998421,67.35054816499999,0,-0.02149024030000002,-0.02149024030000002,99.80870754302397
36,0.019920731709999997,0.0,0.15088941829,0.17081015,0.0,0.0,0.0,4.345240516687895,67.35054816499999,0,0.0,0.0,99.80024614331158
37,0.007079268293,0.0,0.16182658170699998,0.16890585,0.0,0.0,0.0,4.260068631578947,67.35054816499999,0,0.0,0.0,99.80024614331158
