Time,PV,P_buy,P_dch,Demand,P_sell,P_ch,P_hp,Battery_SOC,HP_Tank,HP_Status,P_H,P_DN,V_DN
1,0.0,2.58803819129443e-10,0.17528594974119618,0.17528595,0.0,0.0,0.0,3.057744236978318,54.38999999999999,0,2.58803819129443e-10,2.58803819129443e-10,99.80002946220594
2,0.0,2.5880381863519137e-10,0.06555239974119619,0.0655524,0.0,0.0,0.0,3.023242973956635,54.38999999999999,0,2.5880381863519137e-10,2.5880381863519137e-10,99.80002946220594
3,0.0,2.588038183083619e-10,0.04042119974119618,0.0404212,0.0,0.0,0.0,3.001968658303374,54.38999999999999,0,2.588038183083619e-10,2.588038183083619e-10,99.80002946220594
4,0.0,2.5880381862994285e-10,0.06499639974119618,0.0649964,0.0,0.0,0.0,2.9677600268606388,52.159444402999995,0,2.5880381862994285e-10,2.5880381862994285e-10,99.80002946220594
5,0.0,2.58803818665138e-10,0.06887449974119618,0.0688745,0.0,0.0,0.0,2.931510290154746,52.159444402999995,0,2.58803818665138e-10,2.58803818665138e-10,99.80002946220594
6,0.0,2.588038183818961e-10,0.04506379974119618,0.0450638,0.0,0.0,0.0,2.9077925008172745,52.159444402999995,0,2.588038183818961e-10,2.588038183818961e-10,99.80002946220594
7,0.0,2.5880381843354345e-10,0.04846929974119618,0.0484693,0.0,0.0,0.0,2.8822823430587503,52.15944440299998,0,2.5880381843354345e-10,2.5880381843354345e-10,99.80002946220594
8,0.0,2.5880381865326583e-10,0.06752619974119618,0.0675262,0.0,0.0,0.0,2.8467422379318044,52.15944440299998,0,2.5880381865326583e-10,2.5880381865326583e-10,99.80002946220594
9,0.0,2.5880381872064626e-10,0.07577584974119618,0.07577585,0.0,0.0,0.0,2.806860211752227,52.15944440299998,0,2.5880381872064626e-10,2.5880381872064626e-10,99.80002946220594
10,0.0920748503,2.4509803566277345e-10,0.0,0.06871465,0.0,0.02336020054509803,0.0,2.817956307011149,52.15944440299998,0,2.4509803566277345e-10,2.4509803566277345e-10,99.80098881807486
11,0.21392514969999998,0.0,0.0,0.077145,0.07171213204677078,0.06506801765322918,0.0,2.848863615396433,52.15944440299998,0,-0.07171213204677078,-0.07171213204677078,99.81164803075814
12,0.4680349058,2.4509803887009736e-10,0.0,0.0986761,0.0,0.3693588060450981,0.0,3.0243090482678547,52.15944440299998,0,2.4509803887009736e-10,2.4509803887009736e-10,99.81522452947945
13,0.7289650942,0.0,0.0,0.166383,0.3481563086822119,0.21442578551778801,0.0,3.126161296388804,52.15944440299998,0,-0.3481563086822119,-0.3481563086822119,99.83969311815613
14,0.9407108014000001,0.0,0.0,0.69659155,0.14951785552435645,0.0946013958756439,0.0,3.1710969594297347,45.24909600599998,0,-0.14951785552435645,-0.14951785552435645,99.81770990711203
15,1.183289199,8.003201277867715e-11,0.0,0.10985865,0.0,1.0734305490800322,-4.611647573193253e-16,3.68097647024275,41.677291415999974,0,8.003201277867715e-11,8.003201277867715e-11,99.83727875890118
16,1.414093236,8.003201276000933e-11,0.0,0.0902666,0.0,1.3238266360800326,-4.415265895244627e-16,4.309794122380766,40.787984935999965,0,8.003201276000933e-11,8.003201276000933e-11,99.84251312573741
17,1.627906764,0.0,0.0,0.1136325,1.0904604197631762,0.42381384423682467,-4.211207573435962e-16,4.511105698393258,38.557429464999956,0,-1.0904604197631762,-1.0904604197631762,99.9665328031049
18,1.795807801,0.0,0.0,0.15433865,1.2176553053489305,0.4238138456510696,0.0,4.712417275077516,36.32687399399995,0,-1.2176553053489305,-1.2176553053489305,99.98741488328797
19,1.9481921990000002,0.0,0.0,0.0769921,1.447386254010237,0.42381384498976327,0.0,4.913728851447654,36.32687399399995,0,-1.447386254010237,-1.447386254010237,100.02513070926827
20,2.0673026329999997,0.0,0.0,0.0654829,1.2850391554858225,0.5899148515504691,0.12686572596370801,5.1939384059341265,36.73187436203694,1,-1.2850391554858225,-1.2850391554858225,100.00265851866487
21,2.149197367,0.0,0.0,0.088126,1.4313468570162018,0.5943778511561699,0.03534665882762855,5.476267885233306,37.13687599980545,1,-1.4313468570162018,-1.4313468570162018,100.02643490443153
22,2.186708495,0.0,0.0,0.07861145,1.2329553646276237,0.4234280659817674,0.451713614390609,5.677396216574646,45.23687529482504,1,-1.2329553646276237,-1.2329553646276237,99.99859018926696
