Time,AG_Buy,AG_Sell,Voltage_H0,Battery_H0,HP_Status_H0,P_H_h0,P_DN_h0,PV_h0,Demand_h0,HP_Power_h0,HP_Tank_h0,Voltage_H1,Battery_H1,HP_Status_H1,P_H_h1,P_DN_h1,PV_h1,Demand_h1,HP_Power_h1,HP_Tank_h1,Voltage_H2,Battery_H2,HP_Status_H2,P_H_h2,P_DN_h2,PV_h2,Demand_h2,HP_Power_h2,HP_Tank_h2
1,7.352949564404745e-10,0.0,99.8000294622082,3.057744236971104,0,2.45098200159365e-10,2.45098200159365e-10,0.0,0.17528595,0.0,54.38999999999999,99.80016888060327,3.0577442369711045,0,2.450983780753555e-10,2.450983780753555e-10,0.0,0.17528595,0.0,54.38999999999999,99.8002461432151,3.0577442369711045,0,2.4509837820575404e-10,2.4509837820575404e-10,0.0,0.17528595,0.0,54.38999999999999
2,7.352949553838507e-10,0.0,99.8000294622082,3.0232429739422053,0,2.4509819970584367e-10,2.4509819970584367e-10,0.0,0.0655524,0.0,54.38999999999999,99.80016888060327,3.0232429739422075,0,2.450983777738042e-10,2.450983777738042e-10,0.0,0.0655524,0.0,54.38999999999999,99.8002461432151,3.0232429739422075,0,2.450983779042028e-10,2.450983779042028e-10,0.0,0.0655524,0.0,54.38999999999999
3,4.901960752017401e-10,0.9753809087927316,99.85340682486245,3.0019686582817307,0,2.4509803740431025e-10,2.4509803740431025e-10,0.0,0.0404212,0.0,54.38999999999999,99.9265146965,2.488610285103928,0,-0.9753809087927316,-0.9753809087927316,0.0,0.0404212,0.0,54.38999999999999,99.92659195911185,3.001968658281733,0,2.4509803779742986e-10,2.4509803779742986e-10,0.0,0.0404212,0.0,54.38999999999999
4,7.352949553694188e-10,0.0,99.8000294622082,2.9677600268317823,0,2.4509819969964773e-10,2.4509819969964773e-10,0.0,0.0649964,0.0,52.159444402999995,99.80016888060327,2.4544016536539797,0,2.4509837776968623e-10,2.4509837776968623e-10,0.0,0.0649964,0.0,52.159444402999995,99.8002461432151,2.9677600268317845,0,2.4509837790008474e-10,2.4509837790008474e-10,0.0,0.0649964,0.0,52.159444402999995
5,7.352949554652288e-10,0.0,99.8000294622082,2.931510290118676,0,2.4509819974078006e-10,2.4509819974078006e-10,0.0,0.0688745,0.0,52.159444402999995,99.80016888060327,2.4181519169408734,0,2.4509837779702507e-10,2.4509837779702507e-10,0.0,0.0688745,0.0,52.159444402999995,99.8002461432151,2.9315102901186783,0,2.450983779274237e-10,2.450983779274237e-10,0.0,0.0688745,0.0,52.159444402999995
6,7.352949546170417e-10,0.0,99.8000294622082,2.907792500773991,0,2.450981993765853e-10,2.450981993765853e-10,0.0,0.0450638,0.0,52.159444402999995,99.80016888060327,2.3944341275961887,0,2.4509837755502894e-10,2.4509837755502894e-10,0.0,0.0450638,0.0,52.159444402999995,99.8002461432151,2.9077925007739935,0,2.4509837768542755e-10,2.4509837768542755e-10,0.0,0.0450638,0.0,52.159444402999995
7,7.352949547893759e-10,0.0,99.8000294622082,2.882282343008253,0,2.4509819945059305e-10,2.4509819945059305e-10,0.0,0.0484693,0.0,52.15944440299998,99.80016888060327,2.368923969830451,0,2.4509837760419216e-10,2.4509837760419216e-10,0.0,0.0484693,0.0,52.15944440299998,99.8002461432151,2.882282343008256,0,2.4509837773459067e-10,2.4509837773459067e-10,0.0,0.0484693,0.0,52.15944440299998
8,7.352949554331656e-10,0.0,99.8000294622082,2.846742237874094,0,2.450981997270151e-10,2.450981997270151e-10,0.0,0.0675262,0.0,52.15944440299998,99.80016888060327,2.3333838646962923,0,2.45098377787876e-10,2.45098377787876e-10,0.0,0.0675262,0.0,52.15944440299998,99.8002461432151,2.846742237874097,0,2.4509837791827455e-10,2.4509837791827455e-10,0.0,0.0675262,0.0,52.15944440299998
9,7.352949556114899e-10,0.0,99.8000294622082,2.8068602116873036,0,2.4509819980356793e-10,2.4509819980356793e-10,0.0,0.07577585,0.0,52.15944440299998,99.80016888060327,2.293501838509502,0,2.450983778387616e-10,2.450983778387616e-10,0.0,0.07577585,0.0,52.15944440299998,99.8002461432151,2.8068602116873067,0,2.450983779691602e-10,2.450983779691602e-10,0.0,0.07577585,0.0,52.15944440299998
10,0.0,0.07008057525923028,99.8038645960366,2.806860214732156,0,-0.02336019388978499,-0.02336019388978499,0.0920748503,0.06871465,0.0,52.15944440299998,99.80749917613477,2.2935018430767586,0,-0.023360190684722736,-0.023360190684722736,0.0920748503,0.06871465,0.0,52.15944440299998,99.80944380288868,2.8068602162545635,0,-0.023360190684722556,-0.023360190684722556,0.0920748503,0.06871465,0.0,52.15944440299998
