Time,AG_Buy,AG_Sell,Voltage_H0,Battery_H0,HP_Status_H0,P_H_h0,P_DN_h0,PV_h0,Demand_h0,HP_Power_h0,HP_Tank_h0,Voltage_H1,Battery_H1,HP_Status_H1,P_H_h1,P_DN_h1,PV_h1,Demand_h1,HP_Power_h1,HP_Tank_h1,Voltage_H2,Battery_H2,HP_Status_H2,P_H_h2,P_DN_h2,PV_h2,Demand_h2,HP_Power_h2,HP_Tank_h2
1,0.0,0.0,99.79997057840984,3.057744236842105,0,0.0,0.0,0.0,0.17528595,0.0,54.38999999999999,99.79982624690957,3.057744236842105,0,0.0,0.0,0.0,0.17528595,0.0,54.38999999999999,99.79975030501866,3.057744236842105,0,0.0,0.0,0.0,0.17528595,0.0,54.38999999999999
2,0.0,0.0,99.79997057840984,3.0232429736842104,0,0.0,0.0,0.0,0.0655524,0.0,54.38999999999999,99.79982624690957,3.0232429736842104,0,0.0,0.0,0.0,0.0655524,0.0,54.38999999999999,99.79975030501866,3.0232429736842104,0,0.0,0.0,0.0,0.0655524,0.0,54.38999999999999
3,0.0,0.0,99.79997057840984,3.0019686578947367,0,0.0,0.0,0.0,0.0404212,0.0,54.38999999999999,99.79982624690957,3.0019686578947367,0,0.0,0.0,0.0,0.0404212,0.0,54.38999999999999,99.79975030501866,3.0019686578947367,0,0.0,0.0,0.0,0.0404212,0.0,54.38999999999999
4,0.0,0.0,99.79997057840984,2.9677600263157893,0,0.0,0.0,0.0,0.0649964,0.0,52.159444402999995,99.79982624690957,2.9677600263157893,0,0.0,0.0,0.0,0.0649964,0.0,52.159444402999995,99.79975030501866,2.9677600263157893,0,0.0,0.0,0.0,0.0649964,0.0,52.159444402999995
5,0.0,0.0,99.79997057840984,2.931510289473684,0,0.0,0.0,0.0,0.0688745,0.0,52.159444402999995,99.79982624690957,2.931510289473684,0,0.0,0.0,0.0,0.0688745,0.0,52.159444402999995,99.79975030501866,2.931510289473684,0,0.0,0.0,0.0,0.0688745,0.0,52.159444402999995
6,0.0,0.0,99.79997057840984,2.9077925,0,0.0,0.0,0.0,0.0450638,0.0,52.159444402999995,99.79982624690957,2.9077925,0,0.0,0.0,0.0,0.0450638,0.0,52.159444402999995,99.79975030501866,2.9077925,0,0.0,0.0,0.0,0.0450638,0.0,52.159444402999995
7,0.0,0.0,99.79997057840984,2.882282342105263,0,0.0,0.0,0.0,0.0484693,0.0,52.159444402999995,99.79982624690957,2.882282342105263,0,0.0,0.0,0.0,0.0484693,0.0,52.159444402999995,99.79975030501866,2.882282342105263,0,0.0,0.0,0.0,0.0484693,0.0,52.159444402999995
8,0.0,0.0,99.79997057840984,2.846742236842105,0,0.0,0.0,0.0,0.0675262,0.0,52.159444402999995,99.79982624690957,2.846742236842105,0,0.0,0.0,0.0,0.0675262,0.0,52.159444402999995,99.79975030501866,2.846742236842105,0,0.0,0.0,0.0,0.0675262,0.0,52.159444402999995
9,0.0,0.0,99.79997057840984,2.8068602105263154,0,0.0,0.0,0.0,0.07577585,0.0,52.159444402999995,99.79982624690957,2.8068602105263154,0,0.0,0.0,0.0,0.07577585,0.0,52.159444402999995,99.79975030501866,2.8068602105263154,0,0.0,0.0,0.0,0.07577585,0.0,52.159444402999995
10,0.0,0.07008060089999998,99.79613539438259,2.8068602105263154,0,-0.023360200299999995,-0.023360200299999995,0.0920748503,0.06871465,0.0,52.159444402999995,99.79249573308815,2.8068602105263154,0,-0.023360200299999995,-0.023360200299999995,0.0920748503,0.06871465,0.0,52.159444402999995,99.79055237052434,2.8068602105263154,0,-0.023360200299999995,-0.023360200299999995,0.0920748503,0.06871465,0.0,52.159444402999995
