iteration,lower_bound,upper_bound,gap,optimality_cuts,feasibility_cuts
1,-30000000000.0,inf,inf,0,3
2,-30000000000.0,inf,inf,0,6
3,-30000000000.0,inf,inf,0,9
4,-30000000000.0,inf,inf,0,12
5,-30000000000.0,inf,inf,0,15
6,-30000000000.0,inf,inf,0,18
7,-30000000000.0,inf,inf,0,21
8,-30000000000.0,inf,inf,0,24
9,-30000000000.0,inf,inf,0,27
10,-30000000000.0,inf,inf,0,30
11,-30000000000.0,inf,inf,0,33
12,-30000000000.0,inf,inf,0,36
13,-30000000000.0,inf,inf,0,39
14,-30000000000.0,inf,inf,0,42
15,-30000000000.0,inf,inf,0,45
16,-30000000000.0,inf,inf,0,48
17,-30000000000.0,inf,inf,0,51
18,-30000000000.0,inf,inf,0,54
19,-30000000000.0,inf,inf,0,57
20,-30000000000.0,inf,inf,0,60
21,-30000000000.0,inf,inf,0,63
22,-30000000000.0,inf,inf,0,66
23,-30000000000.0,inf,inf,0,69
24,-30000000000.0,inf,inf,0,72
25,-30000000000.0,inf,inf,0,75
26,-30000000000.0,inf,inf,0,78
27,-30000000000.0,inf,inf,0,81
28,-30000000000.0,inf,inf,0,84
29,-30000000000.0,inf,inf,0,87
30,-30000000000.0,inf,inf,0,90
31,-30000000000.0,inf,inf,0,93
32,-30000000000.0,inf,inf,0,96
33,-30000000000.0,inf,inf,0,99
34,-30000000000.0,inf,inf,0,102
35,-30000000000.0,inf,inf,0,105
36,-30000000000.0,inf,inf,0,108
37,-30000000000.0,inf,inf,0,111
38,-30000000000.0,inf,inf,0,114
39,-30000000000.0,inf,inf,0,117
40,-30000000000.0,inf,inf,0,120
41,-30000000000.0,inf,inf,0,123
42,-30000000000.0,inf,inf,0,126
43,-30000000000.0,inf,inf,0,129
44,-30000000000.0,inf,inf,0,132
45,-30000000000.0,inf,inf,0,135
46,-30000000000.0,inf,inf,0,138
47,-30000000000.0,inf,inf,0,141
48,-30000000000.0,inf,inf,0,144
49,-30000000000.0,inf,inf,0,147
50,-30000000000.0,inf,inf,0,150
