Time,í~ìdó [kWh],í~ìdíróeó è„å¿[kWh],í~ìdíróeó â∫å¿[kWh]
2003/4/1 0:00,3.0577442367476326,6.3,1.26
2003/4/1 0:30,3.023242973424134,6.3,1.26
2003/4/1 1:00,3.001968657510739,6.3,1.26
2003/4/1 1:30,2.9677600258148713,6.3,1.26
2003/4/1 2:00,2.9315102888526505,6.3,1.26
2003/4/1 2:30,2.9077924992030493,6.3,1.26
2003/4/1 3:00,2.8822823411914187,6.3,1.26
2003/4/1 3:30,2.846742235760737,6.3,1.26
2003/4/1 4:00,2.8068602093309565,6.3,1.26
2003/4/1 4:30,2.810877961597811,6.3,1.26
2003/4/1 5:00,2.8462454527933105,6.3,1.26
2003/4/1 5:30,2.891282731152696,6.3,1.26
2003/4/1 6:00,2.968729453719589,6.3,1.26
2003/4/1 6:30,3.013848564042757,6.3,1.26
2003/4/1 7:00,3.084440820896476,6.3,1.26
2003/4/1 7:30,3.156851254623394,6.3,1.26
2003/4/1 8:00,3.238996916921109,6.3,1.26
2003/4/1 8:30,3.3204564537682204,6.3,1.26
2003/4/1 9:00,3.394832926760415,6.3,1.26
2003/4/1 9:30,3.475448312829095,6.3,1.26
2003/4/1 10:00,3.5499883600183084,6.3,1.26
2003/4/1 10:30,3.629711562872476,6.3,1.26
2003/4/1 11:00,3.710125838609554,6.3,1.26
2003/4/1 11:30,3.778025997885501,6.3,1.26
2003/4/1 12:00,3.8499931639780227,6.3,1.26
2003/4/1 12:30,3.9287808773371795,6.3,1.26
2003/4/1 13:00,4.009161777286079,6.3,1.26
2003/4/1 13:30,4.070434893063259,6.3,1.26
2003/4/1 14:00,4.150154985559235,6.3,1.26
2003/4/1 14:30,4.20581947826272,6.3,1.26
2003/4/1 15:00,4.284276743082083,6.3,1.26
2003/4/1 15:30,4.336396215786247,6.3,1.26
2003/4/1 16:00,4.395387690118159,6.3,1.26
2003/4/1 16:30,4.419095938003163,6.3,1.26
2003/4/1 17:00,4.42465600138824,6.3,1.26
2003/4/1 17:30,4.345240517942055,6.3,1.26
2003/4/1 18:00,4.260068632720694,6.3,1.26
2003/4/1 18:30,4.154326211524626,6.3,1.26
2003/4/1 19:00,4.060193948250809,6.3,1.26
2003/4/1 19:30,3.9922924481387314,6.3,1.26
2003/4/1 20:00,3.9193320796224844,6.3,1.26
2003/4/1 20:30,3.867302184794805,6.3,1.26
2003/4/1 21:00,3.8032122110075246,6.3,1.26
2003/4/1 21:30,3.745099237232475,6.3,1.26
2003/4/1 22:00,3.6918841845130164,6.3,1.26
2003/4/1 22:30,3.594949973883308,6.3,1.26
2003/4/1 23:00,3.381219184303892,6.3,1.26
2003/4/1 23:30,3.15,6.3,1.26
