コマ,電力コスト[JPY],アグリゲータの買電電力[kW・30分],アグリゲータの売電電力[kW・30分],買電電力[kW・30分],売電電力[kW・30分],一軒に供給される電力量[kW・30分],一軒から放出される電力量[kW・30分],電気料金[JPY・30min/kW],蓄電量[kWh],充電量[kW・30分],放電量[kW・30分],HP給湯機消費電力[kW・30分],充電中変数,放電中変数,売買変数,電力需要量[kW・30min],太陽光発電出力[kW・30min]
2003/4/1 0:00,13.379855328000001,2.2006341000000003,-0.0,2.2006341000000003,-0.0,2.2006341000000003,-1.4670894,6.08,3.15,-0.0,0.0,0.0,1.0,-0.0,1.0,0.7335447,0.0
2003/4/1 0:30,4.503052896000001,0.7406337000000001,-0.0,0.7406337000000001,-0.0,0.7406337000000001,-0.4937558,6.08,3.15,-0.0,0.0,0.0,1.0,-0.0,1.0,0.2468779,0.0
2003/4/1 1:00,5.4408825599999995,0.894882,-0.0,0.298294,-0.0,0.298294,-0.0,6.08,3.15,-0.0,0.0,0.0,1.0,-0.0,1.0,0.298294,0.0
2003/4/1 1:30,8.487391091373206,1.395952482133751,-0.0,0.0,-0.0,1.0435842,-0.0,6.08,3.15,-0.0,0.0,0.0,1.0,-0.0,1.0,1.0435842,0.0
2003/4/1 2:00,0.0,0.0,-0.0,0.0,-0.0,0.17421565,-0.0,6.08,3.15,-0.0,0.0,0.0,1.0,0.0,1.0,0.17421565,0.0
2003/4/1 2:30,0.0,0.0,-0.0,0.0,-0.0,0.5170244,-0.2585122,6.08,3.15,-0.0,0.0,0.0,1.0,0.0,1.0,0.2585122,0.0
2003/4/1 3:00,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.43843615,6.08,2.360526315789474,-0.0,1.5,0.0,0.0,1.0,1.0,1.06156385,0.0
2003/4/1 3:30,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.5703865,6.08,1.9102211842105266,-0.0,0.85557975,0.0,0.0,1.0,1.0,0.28519325,0.0
2003/4/1 4:00,0.0,0.0,-0.0,0.0,-0.0,0.1689128,-0.0,6.08,1.9102211842105266,-0.0,0.0,0.0,1.0,0.0,1.0,0.1689128,0.0
2003/4/1 4:30,3.084667018527996,0.5073465490999993,-0.0,0.0,-0.0,0.40964570030000025,-0.5688597006000007,6.08,1.26,-0.0,1.2354202500000004,0.0,0.0,1.0,1.0,1.1682811,0.0920748503
2003/4/1 5:00,0.0,0.0,-0.0,0.0,-0.0,0.0658345497,-0.1316690994,6.08,1.26,-0.0,0.0,0.0,1.0,-0.0,1.0,0.1480906,0.21392514969999998
2003/4/1 5:30,0.0,0.0,-0.0,0.0,-0.0,0.06596350579999999,-0.13192701159999998,6.08,1.26,-0.0,0.0,0.0,1.0,0.0,1.0,0.4020714,0.4680349058
2003/4/1 6:00,0.0,0.0,-0.0,0.0,-0.0,0.2761925557999999,-0.0,6.08,1.26,-0.0,0.0,0.0,1.0,0.0,1.0,1.00515765,0.7289650942
