Time,í~ìdó [kWh],í~ìdíróeó è„å¿[kWh],í~ìdíróeó â∫å¿[kWh]
2003/4/1 0:00,3.15,6.3,1.26
2003/4/1 0:30,3.15,6.3,1.26
2003/4/1 1:00,3.15,6.3,1.26
2003/4/1 1:30,2.786202148491448,6.3,1.26
2003/4/1 2:00,2.5111248063861846,6.3,1.26
2003/4/1 2:30,2.1029476484914476,6.3,1.26
2003/4/1 3:00,1.7749857011230263,6.3,1.26
2003/4/1 3:30,1.7749857011230263,6.3,1.26
2003/4/1 4:00,1.5082812800703946,6.3,1.26
2003/4/1 4:30,1.5082812800703946,6.3,1.26
2003/4/1 5:00,1.6020955133928947,6.3,1.26
2003/4/1 5:30,1.6960935091578946,6.3,1.26
2003/4/1 6:00,1.26,6.3,1.26
2003/4/1 6:30,1.26,6.3,1.26
2003/4/1 7:00,1.26,6.3,1.26
2003/4/1 7:30,1.26,6.3,1.26
2003/4/1 8:00,1.26,6.3,1.26
2003/4/1 8:30,1.26,6.3,1.26
2003/4/1 9:00,1.26,6.3,1.26
2003/4/1 9:30,1.26,6.3,1.26
2003/4/1 10:00,1.26,6.3,1.26
2003/4/1 10:30,1.26,6.3,1.26
2003/4/1 11:00,1.9725,6.3,1.26
2003/4/1 11:30,1.9725,6.3,1.26
2003/4/1 12:00,2.6849999999999996,6.3,1.26
2003/4/1 12:30,3.3974999999999995,6.3,1.26
2003/4/1 13:00,4.109999999999999,6.3,1.26
2003/4/1 13:30,4.8225,6.3,1.26
2003/4/1 14:00,4.8225,6.3,1.26
2003/4/1 14:30,5.535,6.3,1.26
2003/4/1 15:00,5.537608663705,6.3,1.26
2003/4/1 15:30,5.537608663705,6.3,1.26
2003/4/1 16:00,6.164940456715,6.3,1.26
2003/4/1 16:30,6.2625329163225,6.3,1.26
2003/4/1 17:00,6.3,6.3,1.26
2003/4/1 17:30,6.3,6.3,1.26
2003/4/1 18:00,6.3,6.3,1.26
2003/4/1 18:30,6.2198226052631576,6.3,1.26
2003/4/1 19:00,6.2198226052631576,6.3,1.26
2003/4/1 19:30,6.2198226052631576,6.3,1.26
2003/4/1 20:00,6.2198226052631576,6.3,1.26
2003/4/1 20:30,6.2198226052631576,6.3,1.26
2003/4/1 21:00,6.2198226052631576,6.3,1.26
2003/4/1 21:30,6.2198226052631576,6.3,1.26
2003/4/1 22:00,5.518421052631579,6.3,1.26
2003/4/1 22:30,4.728947368421053,6.3,1.26
2003/4/1 23:00,3.939473684210526,6.3,1.26
2003/4/1 23:30,3.15,6.3,1.26
